,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed
Ship Size,Index,ID,Name,Flavor Description,Target Preference,Cost,Maintenance,Hits,Armor,Map Speed,Cbt Speed,Laser 2.5cm,Laser 4.5cm,Laser 6.5cm,Laser 10cm,Laser 14cm,Laser 20cm,Laser 28cm,Laser 50cm,Missile 10kg,Missile 50kg,Missile 100kg,Missile 1/2kt,Ground Invasion,Repair Pod,Supply Pod,Scout Sensors,Fighter Bay,Fighter Storage,Gun Ship Link,Gunship Storage,Attack,Core  ,Rear,Retreat,Attack Planet,Outflank,Skirmish,Cover Retreat,Flank,Attack,Core  ,Rear,Retreat,Attack Planet,Outflank,Skirmish,Cover Retreat,Flank
BB,1,BB01,Jupiter,Jupiter-class Linebreaker. Designed to fight other capital ships with weapon batteries including 28cm and 50cm lasers,Titan,293,14.63,128,5,4,2,,0,0,0,0,,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2.0,2.0,2.4,1.6,1.4,2.0,1.6,1.6,1.6
BB,2,BB02,Trajan,"The Trajan-class serves within the heavy vessel hunter doctrine within fleet formations. Armament such as 10cm, 14cm, 20cm allows it to sweep light cruisers.",CL,292,14.60,128,6,4,2,,,,2,6,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
BB,3,BB03,Aurelian,"A carrier platform used when fleets must defeat light cruisers quickly, relying on 4.5cm, 6.5cm, 10cm.",CL,288,14.38,128,4,4,2,,8,6,4,,,,,,,,,,,,,36,18,,,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
BB,4,BB04,Imperator,"Imperator-class Carrier. Effective against Light armored vessels with weapon batteries including 2.5cm, 20cm, 28cm.",CL,290,14.50,128,5,4,2,4,,,,,2,3,,0,0,0,0,0,1,1,1,6,6,4,2,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
BB,5,BB05,Scipio,"The Scipio-class serves within the carrier doctrine within fleet formations. Armament such as 6.5cm, 14cm allows it to pressure light cruisers.",CL,289,14.43,128,4,4,2,,,1,,4,,,,,,,,,,,,,,18,12,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CH,1,CH01,Solarius,"Armed with  28cm and  50cm lasers and a 1/2t missile, the Solarius was designed as a ship of the line.",CH,203,10.16,64,4,5,2,,,,,,,4,2,,,,2,,,,,,,,,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CH,2,CH02,Praetor,"Praetor-class Heavy vessel Hunter. Designed to counter cruisers with weapon batteries including 6.5cm, 10cm, 14cm.",CM,199,9.95,64,5,5,3,,,2,2,4,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,4,CH04,Legatus,"The Legatus-class operates under the assault doctrine within fleet formations. Armament such as 2.5cm, 4.5cm, 6.5cm allows it to screen destroyers and equivalent.",DD,196,9.80,64,5,5,3,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,5,CH05,Tribunus,Armor and combat is traded for map speed and weapons for surveillance and repair and spply in this heavy exploratory vessel,CM,198,9.88,64,2,7,3,3,,,2,,,2,,,,,,,1,2,1,4,4,1,1,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
